YEAR_REGISTERED,YEAR_EVALUATED,YEAR_BUILT,PROPERTY_TYPE,WARD,WARDNAME,SITE_ADDRESS,CONFIRMED_STOREYS,CONFIRMED_UNITS,SCORE
2017,2021,1967,TCHC,19,Beaches-East York,5 WAKUNDA PL,11,198,75
2017,2021,2008,TCHC,14,Toronto-Danforth,50 MATILDA ST,4,56,80
2017,2021,1900,PRIVATE,04,Parkdale-High Park,28 MAYNARD AVE,3,20,77
2018,2021,1948,PRIVATE,11,University-Rosedale,130 MACPHERSON AVE,3,26,74
2017,2021,1950,PRIVATE,03,Etobicoke-Lakeshore,3 BIRCHLEA AVE,3,10,66
2017,2021,1952,PRIVATE,07,Humber River-Black Creek,73 LOVILLA BLVD,3,16,64
2017,2021,1990,TCHC,10,Spadina-Fort York,125 QUEENS WHARF RD,7,73,89
2018,2021,1928,PRIVATE,12,Toronto-St. Paul's,50 RAGLAN AVE,4,32,66
2017,2021,1967,PRIVATE,17,Don Valley North,100 PARKWAY FOREST DR,17,216,71
2017,2021,1962,TCHC,16,Don Valley East,51 PARKWOODS VILLAGE DR,7,81,72
2017,2021,1917,PRIVATE,04,Parkdale-High Park,1479 QUEEN ST W,3,11,68
2017,2021,1965,PRIVATE,05,York South-Weston,36 CHURCH ST,6,41,71
2017,2021,1990,TCHC,16,Don Valley East,20 SANDERLING PL,5,90,80
2018,2021,1957,PRIVATE,03,Etobicoke-Lakeshore,47-49 RIVERWOOD PKWY,4,21,73
2017,2021,1966,PRIVATE,17,Don Valley North,201 VAN HORNE AVE,18,245,71
2017,2021,1955,PRIVATE,07,Humber River-Black Creek,1760 WILSON AVE,4,32,60
2017,2021,1954,PRIVATE,07,Humber River-Black Creek,1770 WILSON AVE,3,31,63
2017,2021,1957,PRIVATE,08,Eglinton-Lawrence,22 HOTSPUR RD,3,10,72
2017,2021,1930,PRIVATE,13,Toronto Centre,26 GIFFORD ST,4,15,70
2017,2021,1970,PRIVATE,04,Parkdale-High Park,15 O'HARA AVE,4,32,67
2017,2021,1957,TCHC,08,Eglinton-Lawrence,22 VARNA DR,3,31,79
2017,2021,1977,TCHC,12,Toronto-St. Paul's,130 VAUGHAN RD,9,99,85
2017,2021,1927,PRIVATE,12,Toronto-St. Paul's,227 VAUGHAN RD,4,24,70
2017,2021,1964,PRIVATE,21,Scarborough Centre,10 TRUDELLE ST,6,84,84
2017,2021,1964,PRIVATE,21,Scarborough Centre,20 TRUDELLE ST,6,84,86
2017,2021,1960,PRIVATE,08,Eglinton-Lawrence,50 NEPTUNE DR,3,12,65
2017,2021,1960,PRIVATE,04,Parkdale-High Park,1475 KING ST W,3,44,74
2018,2021,2005,SOCIAL HOUSING,13,Toronto Centre,270 MILAN ST,3,30,80
2017,2021,1900,PRIVATE,04,Parkdale-High Park,1621 QUEEN ST W,6,74,65
2017,2021,1929,PRIVATE,12,Toronto-St. Paul's,2 CLARENDON AVE,4,41,99
2017,2021,1992,SOCIAL HOUSING,12,Toronto-St. Paul's,155 KENDAL AVE,5,59,84
2018,2021,1949,PRIVATE,06,York Centre,24 ROSSEAU RD,3,11,78
2018,2021,1949,PRIVATE,06,York Centre,22 ROSSEAU RD,3,11,78
2018,2021,1949,PRIVATE,06,York Centre,20 ROSSEAU RD,3,11,78
2018,2021,1949,PRIVATE,06,York Centre,18 ROSSEAU RD,3,11,78
2018,2021,1949,PRIVATE,06,York Centre,16 ROSSEAU RD,3,11,78
2017,2021,1900,PRIVATE,04,Parkdale-High Park,1609 QUEEN ST W,3,41,61
2017,2021,1970,TCHC,20,Scarborough Southwest,140 ADANAC DR,16,306,82
2017,2021,1900,PRIVATE,04,Parkdale-High Park,1504 KING ST W,3,15,63
2017,2021,1930,PRIVATE,12,Toronto-St. Paul's,484 ORIOLE PKWY,3,18,75
2018,2021,1963,PRIVATE,21,Scarborough Centre,45 TRUDELLE ST,6,66,81
2018,2021,1963,PRIVATE,21,Scarborough Centre,35 TRUDELLE ST,6,84,80
2017,2021,1968,TCHC,11,University-Rosedale,250 DAVENPORT RD,25,460,78
2018,2021,1991,SOCIAL HOUSING,08,Eglinton-Lawrence,3010 DUFFERIN ST,10,202,85
2018,2021,1983,SOCIAL HOUSING,08,Eglinton-Lawrence,3050 DUFFERIN ST,14,258,75
2017,2021,1961,PRIVATE,16,Don Valley East,1244 YORK MILLS RD,4,58,73
2017,2021,1961,PRIVATE,16,Don Valley East,1254 YORK MILLS RD,4,58,72
2017,2021,1965,PRIVATE,16,Don Valley East,1300 YORK MILLS RD,8,112,74
2017,2021,1918,PRIVATE,12,Toronto-St. Paul's,58 ORIOLE GDNS,4,13,75
2017,2021,1983,TCHC,12,Toronto-St. Paul's,154 VAUGHAN RD,7,51,83
2017,2021,1977,TCHC,16,Don Valley East,1420 VICTORIA PARK AVE,10,330,77
2018,2021,1963,PRIVATE,21,Scarborough Centre,25 TRUDELLE ST,6,66,60
2017,2021,1979,PRIVATE,11,University-Rosedale,235 BLOOR ST E,28,479,89
2017,2021,1969,TCHC,24,Scarborough-Guildwood,2190 ELLESMERE RD,16,180,75
2017,2021,1975,TCHC,22,Scarborough-Agincourt,2008 PHARMACY AVE,13,293,83
2017,2021,1950,PRIVATE,06,York Centre,4109 BATHURST ST,3,10,63
2017,2021,1955,PRIVATE,06,York Centre,4111 BATHURST ST,3,11,64
2017,2021,1965,PRIVATE,05,York South-Weston,8 CASTLETON AVE,3,17,86
2019,2021,1996,SOCIAL HOUSING,05,York South-Weston,338 FALSTAFF AVE,5,175,86
2017,2021,1960,PRIVATE,04,Parkdale-High Park,112 TYNDALL AVE,3,27,75
2017,2021,1993,TCHC,06,York Centre,1286 WILSON AVE,8,124,71
2017,2021,1960,PRIVATE,04,Parkdale-High Park,110 TYNDALL AVE,3,26,75
2017,2021,1992,TCHC,04,Parkdale-High Park,102 TYNDALL AVE,7,54,79
2017,2021,1950,PRIVATE,05,York South-Weston,98 TRETHEWEY DR,3,10,64
2017,2021,1969,TCHC,24,Scarborough-Guildwood,2180 ELLESMERE RD,16,180,74
2017,2021,1957,PRIVATE,06,York Centre,2842 KEELE ST,3,12,64
2017,2021,1964,PRIVATE,05,York South-Weston,787 JANE ST,9,107,69
2017,2021,1950,PRIVATE,05,York South-Weston,2 GLENHAVEN ST,4,24,78
2017,2021,2000,TCHC,10,Spadina-Fort York,146 FORT YORK BLVD,7,25,93
2017,2021,1955,PRIVATE,06,York Centre,831 WILSON AVE,3,11,61
2017,2021,1972,PRIVATE,05,York South-Weston,1059 WESTON RD,3,14,67
2019,2021,1952,PRIVATE,05,York South-Weston,1061 WESTON RD,3,11,67
2017,2021,1975,PRIVATE,05,York South-Weston,2501 EGLINTON AVE W,4,25,80
2018,2021,1989,TCHC,11,University-Rosedale,25 MADISON AVE,4,12,68
2017,2021,1971,TCHC,24,Scarborough-Guildwood,90 MORNELLE CRT,13,198,74
2017,2021,1916,PRIVATE,04,Parkdale-High Park,1384 KING ST W,3,18,68
2017,2021,1974,TCHC,24,Scarborough-Guildwood,4175 LAWRENCE AVE E,13,375,76
2017,2021,1955,PRIVATE,06,York Centre,3018 KEELE ST,4,31,61
2017,2021,1953,PRIVATE,08,Eglinton-Lawrence,2100 BATHURST ST,5,62,83
2017,2021,1952,PRIVATE,03,Etobicoke-Lakeshore,164 BERRY RD,3,27,69
2017,2021,1969,PRIVATE,21,Scarborough Centre,15 ROSEMOUNT DR,7,72,76
2021,2021,1955,PRIVATE,06,York Centre,7 ROSSEAU RD,3,11,75
2017,2021,1954,PRIVATE,05,York South-Weston,2 JASPER AVE,3,22,62
2017,2021,1985,SOCIAL HOUSING,24,Scarborough-Guildwood,4201-4203 KINGSTON RD,3,39,66
2017,2021,2012,TCHC,10,Spadina-Fort York,150 DAN LECKIE WAY,41,298,91
2017,2021,2009,TCHC,13,Toronto Centre,252 SACKVILLE ST,22,159,84
2017,2021,1972,PRIVATE,07,Humber River-Black Creek,2000 SHEPPARD AVE W,20,266,79
2017,2021,1985,TCHC,08,Eglinton-Lawrence,145 ELM RIDGE DR,9,53,76
2017,2021,1959,PRIVATE,08,Eglinton-Lawrence,61 NEPTUNE DR,3,34,73
2017,2021,1972,TCHC,24,Scarborough-Guildwood,4110 LAWRENCE AVE E,11,185,82
2017,2021,1980,TCHC,12,Toronto-St. Paul's,470 MELITA CRES,5,37,77
2017,2021,1990,TCHC,05,York South-Weston,600 ROGERS RD,9,207,82
2017,2021,1989,TCHC,05,York South-Weston,2468 EGLINTON AVE W,21,210,67
2017,2021,1979,PRIVATE,13,Toronto Centre,20 CARLTON ST,16,216,81
2017,2021,1979,PRIVATE,13,Toronto Centre,25 WOOD ST,26,284,83
2017,2021,1959,PRIVATE,05,York South-Weston,2202 WESTON RD,6,97,78
2017,2021,1980,TCHC,13,Toronto Centre,45 ST LAWRENCE ST,4,50,90
2017,2021,1963,PRIVATE,05,York South-Weston,29 CHURCH ST,10,63,74
2017,2021,1987,TCHC,10,Spadina-Fort York,111 CHESTNUT ST,15,144,75
2017,2021,1969,TCHC,07,Humber River-Black Creek,35 SHOREHAM DR,11,323,87
2017,2021,1960,PRIVATE,13,Toronto Centre,166 CARLTON ST,11,92,85
2017,2021,1961,TCHC,13,Toronto Centre,230 RIVER ST,3,25,80
2017,2021,1972,TCHC,24,Scarborough-Guildwood,4100 LAWRENCE AVE E,11,185,82
2017,2021,1967,PRIVATE,24,Scarborough-Guildwood,3950 LAWRENCE AVE E,15,164,77
2017,2021,1960,TCHC,21,Scarborough Centre,2950 LAWRENCE AVE E,6,200,90
2017,2021,1964,TCHC,11,University-Rosedale,177 PENDRITH ST,3,54,76
2017,2021,1952,PRIVATE,03,Etobicoke-Lakeshore,162 BERRY RD,4,39,80
2017,2021,1965,PRIVATE,06,York Centre,2233 JANE ST,5,39,61
2017,2021,1964,PRIVATE,06,York Centre,2221 JANE ST,3,12,67
2017,2021,1940,PRIVATE,20,Scarborough Southwest,1445 KINGSTON RD,3,14,76
2017,2021,1964,PRIVATE,06,York Centre,2219 JANE ST,3,12,63
2017,2021,1972,TCHC,21,Scarborough Centre,1021 BIRCHMOUNT RD,11,236,77
2017,2021,1940,PRIVATE,20,Scarborough Southwest,1475 KINGSTON RD,3,14,75
2017,2021,1940,PRIVATE,20,Scarborough Southwest,1469 KINGSTON RD,3,15,72
2017,2021,1956,PRIVATE,08,Eglinton-Lawrence,64 WASDALE CRES,3,15,65
2017,2021,1956,PRIVATE,08,Eglinton-Lawrence,67 WASDALE CRES,3,11,63
2017,2021,1980,TCHC,10,Spadina-Fort York,49 HENRY LANE TER,5,15,68
2017,2021,1980,TCHC,04,Parkdale-High Park,300 DUFFERIN ST,7,114,82
2020,2021,1890,PRIVATE,04,Parkdale-High Park,1340 KING ST W,4,16,61
2017,2021,1960,PRIVATE,24,Scarborough-Guildwood,290 MORNINGSIDE AVE,6,107,69
2018,2021,1931,PRIVATE,04,Parkdale-High Park,1 ELM GROVE AVE,3,12,66
2017,2021,1980,TCHC,21,Scarborough Centre,81 GILDER DR,6,22,86
2017,2021,1967,PRIVATE,13,Toronto Centre,540 SHERBOURNE ST,14,95,89
2018,2021,1992,SOCIAL HOUSING,25,Scarborough-Rouge Park,23 DURNFORD RD,3,14,80
2018,2021,1992,SOCIAL HOUSING,25,Scarborough-Rouge Park,21 DURNFORD RD,4,21,78
2018,2021,1992,SOCIAL HOUSING,25,Scarborough-Rouge Park,19 DURNFORD RD,4,28,77
2018,2021,1992,SOCIAL HOUSING,25,Scarborough-Rouge Park,17 DURNFORD RD,3,14,80
2017,2021,1978,TCHC,20,Scarborough Southwest,3330 DANFORTH AVE,10,194,94
2017,2021,1994,SOCIAL HOUSING,07,Humber River-Black Creek,3470 KEELE ST,4,59,65
2017,2021,1984,TCHC,11,University-Rosedale,40 ASQUITH AVE,17,192,69
2017,2021,1954,TCHC,12,Toronto-St. Paul's,133 BROADWAY AVE,4,52,71
2017,2021,1968,TCHC,21,Scarborough Centre,400 MCCOWAN RD,10,198,85
2017,2021,1970,PRIVATE,24,Scarborough-Guildwood,40 TUXEDO CRT,16,216,80
2019,2021,1954,PRIVATE,20,Scarborough Southwest,1051 VICTORIA PARK AVE,3,11,68
2017,2021,1955,PRIVATE,12,Toronto-St. Paul's,147 VAUGHAN RD,3,12,70
2017,2021,1965,PRIVATE,24,Scarborough-Guildwood,960 MARKHAM RD,15,181,70
2017,2021,2005,SOCIAL HOUSING,13,Toronto Centre,101 ONTARIO ST,8,52,93
2017,2021,1970,TCHC,21,Scarborough Centre,31 GILDER DR,18,190,77
2017,2021,1970,TCHC,20,Scarborough Southwest,10 GLEN EVEREST RD,17,350,82
2017,2021,1993,TCHC,13,Toronto Centre,95 WOOD ST,8,72,90
2017,2021,1980,TCHC,11,University-Rosedale,18 DAVENPORT RD,16,128,80
2018,2021,1992,SOCIAL HOUSING,25,Scarborough-Rouge Park,39 DURNFORD RD,3,14,80
2018,2021,1992,SOCIAL HOUSING,25,Scarborough-Rouge Park,37 DURNFORD RD,4,28,78
2018,2021,1992,SOCIAL HOUSING,25,Scarborough-Rouge Park,35 DURNFORD RD,4,21,79
2017,2021,1957,PRIVATE,04,Parkdale-High Park,1 A ELM GROVE AVE,3,12,69
2018,2021,1952,PRIVATE,20,Scarborough Southwest,46 GLEN EVEREST RD,3,16,67
2018,2021,1952,PRIVATE,20,Scarborough Southwest,50 GLEN EVEREST RD,3,16,77
2017,2021,1940,PRIVATE,12,Toronto-St. Paul's,1580 BATHURST ST,4,24,69
2017,2021,1923,PRIVATE,12,Toronto-St. Paul's,1602 BATHURST ST,4,32,71
2017,2021,1993,TCHC,12,Toronto-St. Paul's,1400 BATHURST ST,5,113,88
2017,2021,1971,TCHC,17,Don Valley North,5 BRAHMS AVE,13,178,73
2017,2021,1917,PRIVATE,04,Parkdale-High Park,1465 KING ST W,3,48,69
2018,2021,1960,PRIVATE,20,Scarborough Southwest,3171 KINGSTON RD,4,18,72
2017,2021,1960,PRIVATE,20,Scarborough Southwest,2239 EGLINTON AVE E,7,107,96
2017,2021,1965,PRIVATE,20,Scarborough Southwest,3101 EGLINTON AVE E,6,68,82
2017,2021,1962,PRIVATE,21,Scarborough Centre,1340 DANFORTH RD,15,173,86
2017,2021,1965,PRIVATE,21,Scarborough Centre,1350 DANFORTH RD,15,225,89
2017,2021,1963,PRIVATE,21,Scarborough Centre,1360 DANFORTH RD,15,172,76
2017,2021,1981,TCHC,12,Toronto-St. Paul's,1775 EGLINTON AVE W,14,300,73
2017,2021,1929,PRIVATE,12,Toronto-St. Paul's,795 ST CLAIR AVE W,3,19,60
2017,2021,1960,PRIVATE,12,Toronto-St. Paul's,560 OAKWOOD AVE,3,24,55
2017,2021,2003,TCHC,12,Toronto-St. Paul's,659 NORTHCLIFFE BLVD,7,54,79
2017,2021,1960,PRIVATE,11,University-Rosedale,309 MOUNT PLEASANT RD,3,25,71
2017,2021,1988,TCHC,10,Spadina-Fort York,679 QUEENS QUAY W,6,106,84
2017,2021,1971,TCHC,24,Scarborough-Guildwood,50 TUXEDO CRT,15,378,83
2017,2021,1979,TCHC,10,Spadina-Fort York,25 HENRY LANE TER,6,196,72
2017,2021,1956,TCHC,19,Beaches-East York,93 EDGEWOOD AVE,4,43,60
2017,2021,1987,TCHC,10,Spadina-Fort York,25 BISHOP TUTU BLVD,10,119,84
2017,2021,1954,TCHC,19,Beaches-East York,320 KINGSTON RD,3,39,59
2017,2021,1984,TCHC,19,Beaches-East York,11 NEWBOLD AVE,4,21,76
2017,2021,1956,TCHC,19,Beaches-East York,59 EDGEWOOD AVE,4,53,66
2017,2021,1930,PRIVATE,04,Parkdale-High Park,1585 BLOOR ST W,3,48,71
2017,2021,1953,TCHC,04,Parkdale-High Park,3 LAXTON AVE,8,42,77
2017,2021,1973,PRIVATE,09,Davenport,1011 LANSDOWNE AVE,21,352,57
2018,2021,1925,PRIVATE,19,Beaches-East York,983 KINGSTON RD,3,14,74
2017,2020,1968,PRIVATE,17,Don Valley North,20 GODSTONE RD,15,174,81
2017,2020,1962,PRIVATE,16,Don Valley East,80 BARTLEY DR,3,10,73
2017,2020,1965,PRIVATE,15,Don Valley West,1903 BAYVIEW AVE,5,27,73
2017,2020,1950,PRIVATE,16,Don Valley East,76 BARTLEY DR,3,10,77
2017,2020,1960,PRIVATE,16,Don Valley East,876 LAWRENCE AVE E,3,12,81
2017,2020,1959,PRIVATE,12,Toronto-St. Paul's,1516 BATHURST ST,6,42,69
2020,2020,2019,PRIVATE,10,Spadina-Fort York,39 NIAGARA ST,18,501,97
2017,2020,1938,PRIVATE,12,Toronto-St. Paul's,26 TICHESTER RD,4,32,74
2017,2020,1974,TCHC,14,Toronto-Danforth,145 STRATHMORE BLVD,14,350,82
2017,2020,1958,PRIVATE,12,Toronto-St. Paul's,460 WINONA DR,5,55,72
2017,2020,1960,TCHC,14,Toronto-Danforth,1615 DUNDAS ST E,4,81,66
2017,2020,1967,PRIVATE,15,Don Valley West,300 EGLINTON AVE E,15,96,91
2017,2020,1960,PRIVATE,08,Eglinton-Lawrence,1090 ROSELAWN AVE,5,62,74
2017,2020,1990,SOCIAL HOUSING,13,Toronto Centre,70 PEMBROKE ST,3,15,67
2017,2020,2002,SOCIAL HOUSING,14,Toronto-Danforth,1117 DANFORTH AVE,3,26,67
2017,2020,1950,SOCIAL HOUSING,14,Toronto-Danforth,793 GERRARD ST E,5,28,61
2017,2020,1957,PRIVATE,05,York South-Weston,1306 WESTON RD,3,11,60
2017,2020,1967,SOCIAL HOUSING,14,Toronto-Danforth,444 LOGAN AVE,22,159,78
2017,2020,1983,TCHC,05,York South-Weston,30 DENARDA ST,15,255,74
2017,2020,1988,SOCIAL HOUSING,13,Toronto Centre,223 SHERBOURNE ST,6,60,72
2017,2020,1930,PRIVATE,14,Toronto-Danforth,575 PAPE AVE,3,17,80
2017,2020,1885,PRIVATE,13,Toronto Centre,95 PEMBROKE ST,3,19,80
2017,2020,1968,PRIVATE,08,Eglinton-Lawrence,600 EGLINTON AVE W,6,60,72
2017,2020,2017,PRIVATE,13,Toronto Centre,252 VICTORIA ST,37,337,99
2018,2020,1955,PRIVATE,20,Scarborough Southwest,1075 VICTORIA PARK AVE,3,18,72
2017,2020,1967,PRIVATE,16,Don Valley East,1200 YORK MILLS RD,16,222,83
2018,2020,1932,PRIVATE,20,Scarborough Southwest,3010 QUEEN ST E,4,16,92
2017,2020,1967,PRIVATE,16,Don Valley East,1202 YORK MILLS RD,22,219,83
2017,2020,1976,PRIVATE,21,Scarborough Centre,1181 ELLESMERE RD,4,32,75
2017,2020,1976,PRIVATE,21,Scarborough Centre,1191 ELLESMERE RD,4,27,79
2017,2020,1974,PRIVATE,21,Scarborough Centre,5 GLAMORGAN AVE,10,140,69
2019,2020,1953,PRIVATE,19,Beaches-East York,1161 O'CONNOR DR,3,11,75
2019,2020,2019,PRIVATE,24,Scarborough-Guildwood,40 MEADOWGLEN PL,17,146,92
2017,2020,1957,PRIVATE,08,Eglinton-Lawrence,8 WASDALE CRES,3,10,80
2018,2020,1958,PRIVATE,08,Eglinton-Lawrence,3638 BATHURST ST,7,48,79
2017,2020,1965,PRIVATE,14,Toronto-Danforth,100 GAMBLE AVE,12,152,64
2017,2020,1960,PRIVATE,14,Toronto-Danforth,133 GAMBLE AVE,4,27,78
2018,2020,1963,PRIVATE,02,Etobicoke Centre,38 DIXINGTON CRES,10,111,77
2017,2020,1938,PRIVATE,12,Toronto-St. Paul's,22 TICHESTER RD,4,32,79
2017,2020,1984,PRIVATE,21,Scarborough Centre,3 GLAMORGAN AVE,10,139,73
2017,2020,1960,PRIVATE,08,Eglinton-Lawrence,3635 BATHURST ST,4,19,74
2018,2020,1956,PRIVATE,08,Eglinton-Lawrence,66 WASDALE CRES,3,13,53
2017,2020,1971,TCHC,21,Scarborough Centre,7 GLAMORGAN AVE,12,196,76
2017,2020,1960,PRIVATE,13,Toronto Centre,414 JARVIS ST,4,35,72
2019,2020,1960,PRIVATE,20,Scarborough Southwest,1043 VICTORIA PARK AVE,3,11,70
2019,2020,1954,PRIVATE,14,Toronto-Danforth,39 TORRENS AVE,3,28,73
2017,2020,1950,PRIVATE,14,Toronto-Danforth,257 TORRENS AVE,3,17,84
2017,2020,1961,PRIVATE,21,Scarborough Centre,4 TREEWOOD ST,7,82,79
2017,2020,1961,PRIVATE,21,Scarborough Centre,1765 VICTORIA PARK AVE,7,67,75
2017,2020,1959,PRIVATE,21,Scarborough Centre,1817 VICTORIA PARK AVE,4,36,76
2017,2020,1960,PRIVATE,21,Scarborough Centre,1911 VICTORIA PARK AVE,7,91,67
2017,2020,1950,PRIVATE,15,Don Valley West,715 MILLWOOD RD,3,14,80
2017,2020,1964,PRIVATE,21,Scarborough Centre,1765 LAWRENCE AVE E,7,103,75
2017,2020,1966,PRIVATE,16,Don Valley East,100 ROWENA DR,12,248,80
2017,2020,1960,PRIVATE,08,Eglinton-Lawrence,822 ROSELAWN AVE,9,56,81
2017,2020,1960,PRIVATE,08,Eglinton-Lawrence,835 ROSELAWN AVE,7,39,80
2017,2020,1965,PRIVATE,08,Eglinton-Lawrence,836 ROSELAWN AVE,3,26,73
2017,2020,1959,PRIVATE,08,Eglinton-Lawrence,837 ROSELAWN AVE,7,39,88
2018,2020,1953,PRIVATE,15,Don Valley West,1295 BAYVIEW AVE,4,19,88
2017,2020,1958,PRIVATE,15,Don Valley West,31 BRENTCLIFFE RD,4,16,69
2018,2020,1953,PRIVATE,15,Don Valley West,1299 BAYVIEW AVE,4,19,80
2017,2020,1950,PRIVATE,21,Scarborough Centre,1555 BIRCHMOUNT RD,6,46,79
2017,2020,1954,PRIVATE,21,Scarborough Centre,831 KENNEDY RD,6,50,81
2017,2020,1962,PRIVATE,21,Scarborough Centre,2230 LAWRENCE AVE E,7,64,72
2017,2020,1960,PRIVATE,21,Scarborough Centre,2260 LAWRENCE AVE E,5,26,83
2018,2020,1956,PRIVATE,15,Don Valley West,18 KENRAE RD,3,13,86
2017,2020,1965,PRIVATE,21,Scarborough Centre,5 LYNVALLEY CRES,7,92,77
2017,2020,1950,PRIVATE,08,Eglinton-Lawrence,2040 EGLINTON AVE W,4,37,87
2017,2020,1992,SOCIAL HOUSING,08,Eglinton-Lawrence,262 RIDLEY BLVD,8,111,81
2017,2020,1964,TCHC,20,Scarborough Southwest,40 FIRVALLEY CRT,15,168,83
2019,2020,1900,PRIVATE,11,University-Rosedale,378 MARKHAM ST,4,17,51
2019,2020,1928,PRIVATE,13,Toronto Centre,120 MAITLAND ST,3,24,72
2017,2020,1965,PRIVATE,20,Scarborough Southwest,3750 ST CLAIR AVE E,7,55,79
2018,2020,1950,PRIVATE,16,Don Valley East,3 WINGREEN CRT,3,11,76
2018,2020,1965,PRIVATE,13,Toronto Centre,85 WELLESLEY ST E,8,88,75
2017,2020,1960,PRIVATE,15,Don Valley West,841 MILLWOOD RD,3,18,75
2017,2020,1930,PRIVATE,11,University-Rosedale,496 MONTROSE AVE,3,24,79
2017,2020,1964,TCHC,20,Scarborough Southwest,682 WARDEN AVE,15,223,81
2017,2020,1972,PRIVATE,24,Scarborough-Guildwood,3700 LAWRENCE AVE E,11,105,88
2017,2020,1930,PRIVATE,15,Don Valley West,25 SHERWOOD AVE,3,27,85
2017,2020,1994,SOCIAL HOUSING,10,Spadina-Fort York,138 CLAREMONT ST,3,18,72
2020,2020,1991,SOCIAL HOUSING,10,Spadina-Fort York,163 PORTLAND ST,4,46,81
2017,2020,2005,SOCIAL HOUSING,25,Scarborough-Rouge Park,20 SEWELLS RD,4,92,88
2017,2020,1965,PRIVATE,17,Don Valley North,8 GODSTONE RD,16,164,81
2017,2020,1957,TCHC,08,Eglinton-Lawrence,5 FLEMINGTON RD,3,31,75
2018,2020,1966,PRIVATE,19,Beaches-East York,500 DAWES RD,14,305,47
2017,2020,1964,PRIVATE,15,Don Valley West,32 CARLUKE CRES,7,103,80
2017,2020,1964,PRIVATE,15,Don Valley West,38 CARLUKE CRES,7,104,78
2017,2020,1958,PRIVATE,08,Eglinton-Lawrence,1480 EGLINTON AVE W,4,11,75
2017,2020,1955,PRIVATE,08,Eglinton-Lawrence,1490 EGLINTON AVE W,4,34,88
2017,2020,1965,PRIVATE,11,University-Rosedale,485 HURON ST,13,70,95
2017,2020,1948,PRIVATE,12,Toronto-St. Paul's,869 AVENUE RD,3,10,75
2017,2020,1971,PRIVATE,21,Scarborough Centre,126 BELLAMY RD N,16,253,77
2017,2020,1970,PRIVATE,11,University-Rosedale,360 BLOOR ST W,16,170,85
2017,2020,1955,PRIVATE,08,Eglinton-Lawrence,3257 BATHURST ST,4,20,81
2017,2020,1957,TCHC,08,Eglinton-Lawrence,6 REPLIN RD,4,30,71
2017,2020,1967,PRIVATE,17,Don Valley North,10 RUDDINGTON DR,13,155,80
2018,2020,1954,PRIVATE,16,Don Valley East,868 LAWRENCE AVE E,4,31,71
2017,2020,1957,PRIVATE,08,Eglinton-Lawrence,200 RIDLEY BLVD,4,90,86
2017,2020,1962,TCHC,20,Scarborough Southwest,1 FIRVALLEY CRT,12,115,83
2017,2020,1960,PRIVATE,08,Eglinton-Lawrence,211 WILSON AVE,3,26,79
2017,2020,1955,PRIVATE,08,Eglinton-Lawrence,101 MARLEE AVE,6,58,79
2018,2020,1980,PRIVATE,11,University-Rosedale,1233 YONGE ST,4,42,75
2017,2020,1926,PRIVATE,12,Toronto-St. Paul's,80 ST CLAIR AVE W,4,25,75
2017,2020,1950,PRIVATE,16,Don Valley East,1 WINGREEN CRT,3,11,75
2017,2020,1954,PRIVATE,02,Etobicoke Centre,310 THE KINGSWAY,3,22,88
2017,2020,1954,PRIVATE,02,Etobicoke Centre,314 THE KINGSWAY,3,22,86
2017,2020,1961,PRIVATE,25,Scarborough-Rouge Park,207 MORNINGSIDE AVE,5,107,78
2017,2020,1965,PRIVATE,25,Scarborough-Rouge Park,217 MORNINGSIDE AVE,9,110,80
2017,2020,1958,PRIVATE,08,Eglinton-Lawrence,80 NEPTUNE DR,3,11,74
2017,2020,1955,PRIVATE,11,University-Rosedale,27 WALMER RD,4,38,81
2017,2020,1960,PRIVATE,11,University-Rosedale,30 WALMER RD,3,40,79
2017,2020,1960,PRIVATE,21,Scarborough Centre,806 KENNEDY RD,5,57,82
2017,2020,1965,PRIVATE,11,University-Rosedale,161 CHRISTIE ST,4,15,83
2017,2020,1913,PRIVATE,11,University-Rosedale,399 DUPONT ST,3,20,79
2018,2020,1949,PRIVATE,14,Toronto-Danforth,338-342 DONLANDS AVE,3,36,80
2017,2020,1953,PRIVATE,08,Eglinton-Lawrence,6 SARANAC BLVD,4,26,80
2017,2020,1955,PRIVATE,14,Toronto-Danforth,280 SAMMON AVE,4,34,83
2017,2020,1950,PRIVATE,14,Toronto-Danforth,325 SAMMON AVE,3,26,83
2017,2020,1989,SOCIAL HOUSING,13,Toronto Centre,305-307 PARLIAMENT ST,3,10,88
2018,2020,1950,PRIVATE,14,Toronto-Danforth,260 GAMBLE AVE,3,24,84
2017,2020,1965,PRIVATE,24,Scarborough-Guildwood,15 COUGAR CRT,17,193,80
2018,2020,1969,TCHC,12,Toronto-St. Paul's,69 HOLLY ST,4,14,73
2017,2020,1957,PRIVATE,08,Eglinton-Lawrence,32 HOTSPUR RD,3,10,70
2017,2020,1991,SOCIAL HOUSING,13,Toronto Centre,280 GERRARD ST E,3,26,77
2017,2020,1960,PRIVATE,08,Eglinton-Lawrence,205 WILSON AVE,3,20,81
2017,2020,1954,PRIVATE,02,Etobicoke Centre,3 ANGLESEY BLVD,4,22,86
2017,2020,1954,PRIVATE,02,Etobicoke Centre,7 ANGLESEY BLVD,4,19,88
2017,2020,1956,PRIVATE,08,Eglinton-Lawrence,15 BIDEFORD AVE,6,44,88
