YEAR_REGISTERED,YEAR_EVALUATED,YEAR_BUILT,PROPERTY_TYPE,WARD,WARDNAME,SITE_ADDRESS,CONFIRMED_STOREYS,CONFIRMED_UNITS,SCORE
2017,2018,1956,PRIVATE,08,Eglinton-Lawrence,78 NEPTUNE DR,3,12,60
2017,2018,1958,PRIVATE,08,Eglinton-Lawrence,80 NEPTUNE DR,3,11,66
2017,2018,1964,PRIVATE,06,York Centre,11 GOLDFINCH CRT,15,174,80
2020,2018,1957,PRIVATE,05,York South-Weston,331 FALSTAFF AVE,3,11,69
2017,2018,1958,PRIVATE,08,Eglinton-Lawrence,775 LAWRENCE AVE W,3,10,82
2018,2018,1961,PRIVATE,08,Eglinton-Lawrence,777 LAWRENCE AVE W,3,10,75
2017,2018,1963,PRIVATE,06,York Centre,9 KINGSBRIDGE CRT,7,74,79
2017,2018,1974,TCHC,24,Scarborough-Guildwood,4175 LAWRENCE AVE E,13,375,61
2017,2018,1974,TCHC,25,Scarborough-Rouge Park,4205 LAWRENCE AVE E,14,345,64
2017,2018,1959,PRIVATE,08,Eglinton-Lawrence,771 LAWRENCE AVE W,3,10,75
2017,2018,1964,PRIVATE,21,Scarborough Centre,123 BELLAMY RD N,12,250,75
2017,2018,1971,PRIVATE,21,Scarborough Centre,126 BELLAMY RD N,16,253,53
2019,2018,1972,PRIVATE,13,Toronto Centre,230 OAK ST,23,327,76
2017,2018,1960,PRIVATE,08,Eglinton-Lawrence,33 WASDALE CRES,3,11,72
2017,2018,1989,SOCIAL HOUSING,13,Toronto Centre,305-307 PARLIAMENT ST,3,10,79
2017,2018,1983,TCHC,13,Toronto Centre,25 MUTUAL ST,11,97,73
2017,2018,1985,TCHC,13,Toronto Centre,145 MUTUAL ST,15,145,74
2017,2018,1970,TCHC,13,Toronto Centre,423 YONGE ST,20,340,66
2017,2018,1977,PRIVATE,12,Toronto-St. Paul's,787 VAUGHAN RD,4,38,83
2017,2018,1975,PRIVATE,08,Eglinton-Lawrence,84 NEPTUNE DR,3,11,86
2017,2018,1930,PRIVATE,13,Toronto Centre,26 GIFFORD ST,4,15,64
2017,2018,1950,PRIVATE,16,Don Valley East,1 WINGREEN CRT,3,11,80
2018,2018,1950,PRIVATE,16,Don Valley East,3 WINGREEN CRT,3,11,79
2017,2018,1956,PRIVATE,16,Don Valley East,5 WINGREEN CRT,3,22,78
2017,2018,1965,PRIVATE,16,Don Valley East,9 WINGREEN CRT,3,11,89
2017,2018,1978,TCHC,13,Toronto Centre,200 SHERBOURNE ST,7,174,64
2017,2018,1960,PRIVATE,07,Humber River-Black Creek,25 DUNCANWOODS DR,11,148,79
2017,2018,1960,PRIVATE,05,York South-Weston,19 DENISON RD E,3,26,63
2017,2018,1958,PRIVATE,05,York South-Weston,21 DENISON RD E,3,17,77
2017,2018,1985,TCHC,11,University-Rosedale,25 ELM ST,16,101,80
2017,2018,1917,PRIVATE,04,Parkdale-High Park,1465 KING ST W,3,48,57
2017,2018,1960,PRIVATE,04,Parkdale-High Park,1475 KING ST W,3,44,61
2017,2018,1994,TCHC,13,Toronto Centre,261 JARVIS ST,7,55,68
2017,2018,1991,TCHC,13,Toronto Centre,460 JARVIS ST,10,212,74
2017,2018,1963,PRIVATE,02,Etobicoke Centre,1137 ROYAL YORK RD,10,122,73
2017,2018,1963,PRIVATE,02,Etobicoke Centre,1139 ROYAL YORK RD,10,90,73
2017,2018,1960,PRIVATE,08,Eglinton-Lawrence,37 WASDALE CRES,3,11,71
2017,2018,1957,TCHC,08,Eglinton-Lawrence,1 OLD MEADOW LANE,4,30,68
